epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,5218.54,1.41344,10.9904,0.61004,1.91791,1.16889,0.00076,0.11752,0.0005,0.00016,0.00014,0.02564,9e-05,3e-05,2.95386,11.721,0.614,6.03782,2.38996,0.0006436,0.0006436,0.0006436
38,5347,1.43076,10.7304,0.58737,2.03737,1.28328,0.00096,0.11966,0.00064,0.00015,0.00016,0.02564,0.00012,3e-05,2.96091,11.7268,0.62723,5.48507,2.40193,0.0006337,0.0006337,0.0006337
39,5476.22,1.25723,10.7879,0.58908,1.85731,1.21438,0.00085,0.08333,0.00052,0.00013,0.00013,0.01709,8e-05,2e-05,3.00244,11.7194,0.63579,5.26843,2.46471,0.0006238,0.0006238,0.0006238
40,5605.86,1.39841,10.5821,0.58012,1.87797,1.23204,0.00073,0.06838,0.00046,0.00015,0.00015,0.01709,0.00011,2e-05,3.03899,11.7041,0.61867,5.47019,2.50903,0.0006139,0.0006139,0.0006139
41,5734.36,1.29303,10.834,0.58991,1.84372,1.20813,0.00093,0.09936,0.00066,0.00016,0.00013,0.01709,8e-05,1e-05,2.99974,11.7138,0.59234,5.47424,2.5181,0.000604,0.000604,0.000604
42,5866.22,1.2658,10.7686,0.58333,1.73324,1.20945,0.00081,0.09615,0.00063,0.00022,0.00011,0.01709,7e-05,1e-05,2.89998,11.7307,0.57215,5.37652,2.58186,0.0005941,0.0005941,0.0005941
43,5995.17,1.23373,10.6002,0.61711,1.82626,1.2067,0.00074,0.07479,0.00052,0.00018,0.00014,0.01709,0.00013,3e-05,2.91286,11.7113,0.5755,5.6522,2.47385,0.0005842,0.0005842,0.0005842
44,6126.15,1.22208,10.82,0.58736,1.74698,1.16844,0.00087,0.06517,0.00051,0.00012,0.00021,0.01709,0.00013,2e-05,2.80583,11.6905,0.5874,5.79,2.35021,0.0005743,0.0005743,0.0005743
45,6255.08,1.24464,10.9139,0.58548,1.71929,1.14975,0.00083,0.05235,0.00052,8e-05,0.00027,0.01709,0.00016,3e-05,2.81033,11.6887,0.59566,5.53619,2.41741,0.0005644,0.0005644,0.0005644
46,6384.17,1.21086,10.3581,0.56357,1.79357,1.21279,0.00084,0.05342,0.00055,9e-05,0.00025,0.01709,0.00017,3e-05,2.90743,11.6801,0.59098,5.4374,2.5064,0.0005545,0.0005545,0.0005545
